Kanji,Reading,Meaning,Level
恨む,うらむ,to regret; to bear a grudge against,2
羨ましい,うらやましい,envious; jealous,2
羨む,うらやむ,to envy; to be envious of,2
売上,うりあげ,amount sold; sales,2
売り切れ,うりきれ,sold-out,2
売り切れる,うりきれる,to be sold out,2
売行き,うれゆき,sales; demand,2
うろうろ,うろうろ,restlessly; aimlessly,2
運河,うんが,(navigable) canal; waterway,2
うんと,うんと,a great deal; very much,2
英文,えいぶん,English writing; English sentence,2
英和,えいわ,English-Japanese; English-Japanese dictionary,2
ええと,ええと,,2
液体,えきたい,liquid,2
エチケット,エチケット,politeness; good manners,2
絵の具,えのぐ,paint; coloring materials,2
エプロン,エプロン,apron; apron (airport),2
偉い,えらい,great; excellent,2
宴会,えんかい,party; banquet,2
園芸,えんげい,horticulture; gardening,2
演劇,えんげき,drama; theatre,2
円周,えんしゅう,circumference,2
遠足,えんそく,school trip; field trip,2
延長,えんちょう,extension; elongation,2
煙突,えんとつ,chimney; smokestack,2
追い掛ける,おいかける,to chase; to run after,2
追い越す,おいこす,to pass (e.g. car); to overtake,2
オイル,オイル,oil; petroleum,2
応援,おうえん,aid; assistance,2
王女,おうじょ,princess,2
応ずる,おうずる,to answer; to respond,2
応接,おうせつ,reception (e.g. of visitors); dealing with,2
応対,おうたい,"dealing with (people, customers, complaints, etc.); receiving (callers, visitors, etc.)",2
往復,おうふく,making a round trip; going and returning,2
欧米,おうべい,Europe and the United States; Europe and America,2
応用,おうよう,(practical) application; putting to practical use,2
オーケストラ,オーケストラ,orchestra,2
おおざっぱ,おおざっぱ,"rough (estimate, summary, etc.); broad",2
大通り,おおどおり,main street; avenue,2
オートメーショ,オートメーショ,,2
ン,ン,some,2
オーバーコート,オーバーコート,overcoat,2
大凡,おおよそ,about; roughly,2
お帰り,おかえり,return; welcome home,2
おかけください,おかけください,please sit down; please have a seat,2
おかげさまで,おかげさまで,thankfully; fortunately,2
おかず,おかず,small dish (usu. one of several accompanying rice); side dish,2
拝む,おがむ,to assume the posture of praying; to press the palms and fingers of both hands together,2
お代わり,おかわり,another helping; second helping,2
補う,おぎなう,to supplement; to make up for,2
おきのどくに,おきのどくに,my sympathies; that's too bad,2
屋外,おくがい,outdoors; outside,2
おくさん,おくさん,wife; your wife,2
送り仮名,おくりがな,kana written after a kanji to complete the full (usually kun) reading of the word; declensional kana ending,2
おげんきで,おげんきで,,2
怠る,おこたる,to neglect; to be negligent in,2
押える,おさえる,to pin down; to hold down,2
おさきに,おさきに,before; previously,2
納める,おさめる,to put (into); to put away (in),2
治める,おさめる,to rule; to govern,2
惜しい,おしい,regrettable; disappointing,2
御辞儀,おじぎ,bow; bowing,2
伯父さん,おじさん,uncle; old man,2
小父さん,おじさん,uncle; old man,2
叔父さん,おじさん,uncle; old man,2
おしゃれ,おしゃれ,stylish; fashionable,2
おじゃまします,おじゃまします,please excuse the intrusion; I'm coming in,2
教わる,おそわる,to be taught; to learn,2
おだいじに,おだいじに,take care of yourself; get well soon,2
落着く,おちつく,to calm down; to compose oneself,2
御手洗,おてあらい,toilet; restroom,2
お出掛け,おでかけ,about to start out; just about to leave or go out,2
お手伝いさ,おてつだいさん,maid,2
おどかす,おどかす,to threaten; to menace,2
落し物,おとしもの,lost property; something dropped and left behind,2
おととい,おととい,day before yesterday,2
おととし,おととし,year before last,2
おとなしい,おとなしい,gentle; quiet,2
驚かす,おどろかす,to surprise; to frighten,2
おねがいします,おねがいします,please,2
各々,おのおの,each; you (plural),2
伯母さん,おばさん,aunt,2
叔母さん,おばさん,aunt,2
おはよう,おはよう,good morning,2
お参り,おまいり,"visit (to a shrine, grave, etc.); worship",2
おまたせしまし,おまたせしまし,,2
た,た,distance between outstretched thumb and middle finger (approx. 18 cm); did,2
おまちください,おまちください,,2
おまちどおさま,おまちどおさま,I'm sorry to have kept you waiting,2
おめでたい,おめでたい,(matter) for congratulations; worthy of celebration,2
思い掛けな,おもいがけない,unexpected; contrary to expectations,2
思い込む,おもいこむ,to be convinced (that); to be under the impression (that),2
思いっ切り,おもいっきり,to one's heart's content; as much as one wants,2
思い付く,おもいつく,to think of; to hit upon,2
重たい,おもたい,heavy; weighty,2
おやすみ,おやすみ,holiday; day off,2
おやつ,おやつ,between-meal snack; mid-afternoon (around 3 o'clock) snack,2
親指,おやゆび,thumb; big toe,2
オルガン,オルガン,organ (musical instrument),2
卸す,おろす,to sell wholesale; to grate (e.g. vegetables),2
恩恵,おんけい,grace; favor,2
温室,おんしつ,greenhouse; hothouse,2
温泉,おんせん,hot spring; onsen,2
温帯,おんたい,temperate zone,2
御中,おんちゅう,... and Company; Messrs,2
女の人,おんなのひと,woman,2
蚊,か,mosquito,2
カーブ,カーブ,(wine) cellar; curve,2
貝,かい,Japanese Babylon (Babylonia japonica); Japanese ivory shell,2
開会,かいかい,opening of a meeting,2
会館,かいかん,meeting hall; assembly hall,2
改札,かいさつ,examination of tickets; ticket gate,2
解散,かいさん,"breaking up (a meeting, gathering, etc.); dispersal (e.g. of a crowd)",2
海水浴,かいすいよく,swimming in the ocean; sea bathing,2
回数,かいすう,number of times; frequency,2
回数券,かいすうけん,coupon tickets; discount tickets,2
改正,かいせい,revision; amendment,2
快晴,かいせい,clear weather; cloudless weather,2
解説,かいせつ,explanation; commentary,2
改造,かいぞう,remodeling; remodelling,2
開通,かいつう,"opening (of a new road, railway, etc.); going into operation (e.g. telephone communication)",2
回転,かいてん,rotation; revolution,2
解答,かいとう,answer; solution,2
回答,かいとう,reply; answer,2
外部,がいぶ,outside (e.g. of a building); exterior,2
解放,かいほう,release; unleashing,2
開放,かいほう,"opening (a door, window, etc.); leaving open",2
海洋,かいよう,ocean; sea,2
概論,がいろん,introduction; outline,2
帰す,かえす,to come to (in the end); to end in,2
却って,かえって,on the contrary; rather,2
代える,かえる,to replace; to convert,2
反る,かえる,to warp; to curve,2
家屋,かおく,house; building,2
係わる,かかわる,to be involved (in); to get involved (in),2
書留,かきとめ,registered mail; registered post,2
書取,かきとり,writing down from other written material; writing kanji text from hiragana,2
垣根,かきね,hedge; fence,2
掻く,かく,to scratch; to perspire,2
嗅ぐ,かぐ,to sniff; to smell,2
架空,かくう,fictitious; imaginary,2
各自,かくじ,each (person); everyone,2
拡充,かくじゅう,expansion,2
学術,がくじゅつ,science; learning,2
各地,かくち,each place; every place,2
拡張,かくちょう,expansion; extension,2
角度,かくど,angle,2
学年,がくねん,academic year; school year,2
学部,がくぶ,faculty (of a university); school,2
格別,かくべつ,particular; special,2
確率,かくりつ,probability; likelihood,2
学力,がくりょく,scholarly ability; scholarship,2
掛け算,かけざん,multiplication,2
可決,かけつ,"approval; adoption (of a motion, bill, etc.)",2
火口,かこう,(volcanic) crater; caldera,2
下降,かこう,descent; fall,2
重なる,かさなる,to be piled up; to lie on top of one another,2
重ねる,かさねる,to pile up; to heap up,2
飾り,かざり,decoration; ornament,2
火山,かざん,volcano,2
かしこまりまし,かしこまりまし,,2
た,た,distance between outstretched thumb and middle finger (approx. 18 cm); did,2
貸し出し,かしだし,lending; loaning,2
過失,かしつ,accident (caused by negligence); error,2
果実,かじつ,fruit; nut,2
貸間,かしま,room to let; room for rent,2
貸家,かしや,house for rent,2
個所,かしょ,place; point,2
過剰,かじょう,excess; surplus,2
かじる,かじる,to gnaw; to nibble,2
課税,かぜい,taxation,2
下線,かせん,underline; underscore,2
カセット,カセット,cassette (tape); game cartridge,2
加速,かそく,acceleration; speeding up,2
加速度,かそくど,acceleration,2
固い,かたい,hard; solid,2
堅い,かたい,hard; solid,2
片仮名,かたかな,katakana,2
片付く,かたづく,to be put in order; to be put to rights,2
塊,かたまり,lump; mass,2
固まる,かたまる,to harden; to solidify,2
片道,かたみち,one-way (trip); one-way ticket,2
傾く,かたむく,to lean (esp. of a ripe ear of rice); to incline,2
片寄る,かたよる,to lean (to one side); to incline,2
学科,がっか,subject (of study); course of study,2
学会,がっかい,learned society; scientific society,2
楽器,がっき,musical instrument,2
学級,がっきゅう,(school) class,2
担ぐ,かつぐ,to shoulder; to carry on one's shoulder,2
括弧,かっこ,brackets; parentheses,2
活字,かつじ,(piece of) type; movable type,2
活躍,かつやく,activity (esp. energetic or successful); great efforts,2
活力,かつりょく,vitality; energy,2
仮定,かてい,assumption; supposition,2
過程,かてい,process; course,2
課程,かてい,course; curriculum,2
仮名,かな,alias; pseudonym,2
仮名遣い,かなづかい,kana orthography; syllabary spelling,2
鐘,かね,bell (often a large hanging bell); chime,2
加熱,かねつ,heating; application of heat,2
兼ねる,かねる,"to be unable to; to find difficult (unpleasant, awkward, painful) to do",2
カバー,カバー,cover; covering,2
過半数,かはんすう,majority,2
被せる,かぶせる,to put clothes on (someone); to dress,2
釜,かま,iron pot; kettle,2
紙屑,かみくず,wastepaper; scrap of paper,2
神様,かみさま,God; god,2
剃刀,かみそり,razor,2
ガム,ガム,chewing gum; gum,2
貨物,かもつ,cargo; freight,2
かゆい,かゆい,itchy,2
歌謡,かよう,song; ballad,2
殻,から,chicken bones (e.g. for soup); chicken carcass,2
カラー,カラー,collar; calla (variety of arum lily),2
からかう,からかう,to tease; to make fun of,2
空っぽ,からっぽ,empty; vacant,2
かるた,かるた,karuta,2
枯れる,かれる,to wither (of a plant); to be blasted,2
カロリー,カロリー,calorie,2
かわいがる,かわいがる,to be affectionate to; to treat tenderly,2
乾かす,かわかす,"to dry (clothes, etc.); to desiccate",2
渇く,かわく,to be thirsty; to feel thirsty,2
為替,かわせ,money order; draft,2
瓦,かわら,tile (e.g. roof); gram,2
代る,かわる,to succeed; to relieve,2
間隔,かんかく,space; interval,2
換気,かんき,ventilation,2
感激,かんげき,deep emotion; impression,2
関西,かんさい,"Kansai (region comprising Kyoto, Osaka, Kobe and surrounding prefectures); Kansai (western half of Japan; during the feudal era)",2
鑑賞,かんしょう,"appreciation (of art, music, poetry, etc.)",2
感ずる,かんずる,to feel; to sense,2
間接,かんせつ,indirection; indirectness,2
乾燥,かんそう,dryness; aridity,2
感想,かんそう,impressions; thoughts,2
観測,かんそく,observation; survey,2
寒帯,かんたい,frigid zone,2
官庁,かんちょう,government office; government agency,2
勘違い,かんちがい,misunderstanding; mistaken idea,2
缶詰,かんづめ,canned food; tinned food,2
乾電池,かんでんち,dry cell battery,2
関東,かんとう,Kantō (region comprising Tokyo and surrounding prefectures); Kantō (eastern half of Japan; during the feudal era),2
観念,かんねん,idea; notion,2
乾杯,かんぱい,cheers; bottoms-up,2
看板,かんばん,signboard; sign,2
看病,かんびょう,nursing (a patient),2
冠,かんむり,order; rank,2
漢和,かんわ,China and Japan; Chinese and Japanese (languages),2
気圧,きあつ,atmospheric pressure; air pressure,2
器械,きかい,machine; mechanism,2
着替え,きがえ,"changing clothes (on another person, e.g. a child or doll); changing the exterior parts (e.g. of a product)",2
機関車,きかんしゃ,locomotive; engine,2
飢饉,ききん,famine; crop failure,2
器具,きぐ,utensil; implement,2
期限,きげん,term; period,2
記号,きごう,sign; symbol,2
刻む,きざむ,to mince; to cut fine,2
儀式,ぎしき,ceremony; rite,2
基準,きじゅん,standard; criterion,2
規準,きじゅん,standard; criterion,2
起床,きしょう,rising (from one's bed); getting up,2
着せる,きせる,to put clothes on (someone); to dress,2
基礎,きそ,foundation; basis,2
気体,きたい,gas; vapour,2
基地,きち,"base (military, expedition, etc.); enthusiast",2
きっかけ,きっかけ,chance; start,2
ぎっしり,ぎっしり,tightly (packed); densely,2
基盤,きばん,(circuit) board; substrate,2
客席,きゃくせき,"guest seating (e.g. theater, stadium); passenger seat (e.g. taxi)",2
客間,きゃくま,drawing room; parlor,2
ギャング,ギャング,gang; gangster,2
キャンパス,キャンパス,campus,2
休業,きゅうぎょう,"suspension of business; temporary closure (of a store, school, etc.)",2
休講,きゅうこう,"cancellation (of a lecture, class, etc.)",2
休息,きゅうそく,rest; relief,2
給与,きゅうよ,pay; salary,2
休養,きゅうよう,rest; relaxation,2
清い,きよい,clean; clear,2
強化,きょうか,strengthening; intensifying,2
境界,きょうかい,land boundary; border (between properties),2
行事,ぎょうじ,event; function,2
恐縮,きょうしゅく,feeling (much) obliged; being (very) grateful,2
教養,きょうよう,(understanding or appreciation of) culture; (one's) education,2
行列,ぎょうれつ,line; queue,2
漁業,ぎょぎょう,fishing industry; fishery,2
曲線,きょくせん,curve,2
規律,きりつ,order; observance,2
斬る,きる,"to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off)",2
気を付ける,きをつける,to be careful; to pay attention,2
金魚,きんぎょ,goldfish (Carassius auratus),2
区域,くいき,area; zone,2
偶数,ぐうすう,even number,2
空想,くうそう,daydream; fantasy,2
空中,くうちゅう,(in) the air; midair,2
クーラー,クーラー,air conditioner; cooler,2
釘,くぎ,nail; spike,2
区切る,くぎる,to divide; to separate,2
櫛,くし,comb,2
くしゃみ,くしゃみ,sneeze; sneezing,2
苦情,くじょう,complaint; troubles,2
苦心,くしん,pains; hard work,2
屑,くず,waste; scrap,2
崩す,くずす,to destroy; to demolish,2
薬指,くすりゆび,ring finger; third finger,2
崩れる,くずれる,to collapse; to crumble,2
砕く,くだく,to break (into pieces); to smash,2
砕ける,くだける,to break (into pieces); to be broken,2
くたびれる,くたびれる,to get tired; to become exhausted,2
くだらない,くだらない,trivial; trifling,2
下る,くだる,to come down; to go down,2
唇,くちびる,lip; lips,2
口紅,くちべに,lipstick,2
くっつく,くっつく,to adhere to; to stick to,2
くっつける,くっつける,to attach; to stick together,2
くどい,くどい,repetitious; long-winded,2
句読点,くとうてん,punctuation mark,2
配る,くばる,to distribute; to hand out,2
工夫,くふう,devising (a way); contriving,2
区分,くぶん,division; section,2
組合せ,くみあわせ,combination; assortment,2
組み立てる,くみたてる,to assemble; to put together,2
汲む,くむ,to draw (water); to ladle,2
酌む,くむ,to pour (sake); to serve,2
悔しい,くやしい,"frustrated (over a failure, humiliation or injustice); annoyed",2
悔やむ,くやむ,to mourn; to lament,2
クリーニング,クリーニング,cleaning; dry cleaning,2
くるむ,くるむ,to wrap up (in); to roll up (in),2
くれぐれも,くれぐれも,sincerely; earnestly,2
咥える,くわえる,to hold in one's mouth; to bring with,2
郡,ぐん,district; county,2
稽古,けいこ,practice; practising,2
敬語,けいご,honorific; term of respect,2
蛍光灯,けいこうとう,fluorescent lamp; fluorescent light,2
形式,けいしき,form (as opposed to substance); format,2
継続,けいぞく,continuation; continuance,2
毛糸,けいと,knitting wool; woolen yarn,2
経度,けいど,longitude,2
系統,けいとう,system; lineage,2
芸能,げいのう,public entertainment; performing arts,2
競馬,けいば,traditional horse-racing; horse racing,2
警備,けいび,defense; defence,2
形容詞,けいようし,adjective; i-adjective (in Japanese),2
形容動詞,けいようどうし,adjectival noun (in Japanese); quasi-adjective,2
外科,げか,surgery (branch of medicine); department of surgery,2
毛皮,けがわ,fur; skin,2
激増,げきぞう,sharp increase; sudden rise,2
下車,げしゃ,"alighting (from a train, bus, etc.); getting off",2
下旬,げじゅん,last third of a month; 21st to the last day of a month,2
下水,げすい,"water flowing underneath; kanji ""water"" radical at bottom (radical 85)",2
削る,けずる,"to shave (wood, leather, etc.); to sharpen (e.g. pencil)",2
桁,けた,column; beam,2
下駄,げた,geta; turn (in set-type proofing),2
血圧,けつあつ,blood pressure,2
血液,けつえき,blood,2
月給,げっきゅう,monthly salary,2
傑作,けっさく,masterpiece; masterwork,2
月末,げつまつ,end of the month,2
気配,けはい,indication; sign,2
下品,げひん,vulgar; indecent,2
煙い,けむい,smoky,2
蹴る,ける,to kick; to refuse,2
険しい,けわしい,precipitous; rugged,2
見学,けんがく,inspection; study by observation,2
謙虚,けんきょ,modest; humble,2
原稿,げんこう,manuscript; copy,2
原産,げんさん,place of origin; habitat,2
原始,げんし,origin; beginning,2
研修,けんしゅう,training (esp. in-service); induction course,2
厳重,げんじゅう,strict; severe,2
謙遜,けんそん,modesty; humility,2
県庁,けんちょう,prefectural office,2
限度,げんど,limit; bounds,2
現に,げんに,actually; really,2
顕微鏡,けんびきょう,microscope,2
原理,げんり,principle; theory,2
原料,げんりょう,raw materials; ingredient,2
碁,ご,go (board game),2
恋しい,こいしい,yearned for; longed for,2
請う,こう,to beg; to ask,2
工員,こういん,factory worker,2
強引,ごういん,overbearing; coercive,2
公害,こうがい,pollution; public nuisance,2
高級,こうきゅう,high-class; high-grade,2
公共,こうきょう,"public (facilities, service, etc.); communal",2
工芸,こうげい,industrial arts; craft,2
孝行,こうこう,filial piety; showing devotion (to someone),2
交差,こうさ,crossing; intersection,2
講師,こうし,speaker; lecturer,2
工事,こうじ,construction work,2
公式,こうしき,official; formal,2
口実,こうじつ,excuse; pretext,2
こうして,こうして,thus; in this way,2
校舎,こうしゃ,school building; schoolhouse,2
公衆,こうしゅう,the public; general public,2
香水,こうすい,scented water used for purification; water offering to Buddha,2
公正,こうせい,justice; fairness,2
功績,こうせき,achievement; meritorious deed,2
光線,こうせん,ray (of light); beam,2
高層,こうそう,high-rise (building); multistory,2
構造,こうぞう,structure; construction,2
交替,こうたい,change; alternation,2
耕地,こうち,arable land; plantation,2
交通機関,こうつうきかん,(means of) transportation; transport,2
校庭,こうてい,schoolyard; school playground,2
肯定,こうてい,affirmation; affirmative,2
高度,こうど,altitude; height,2
高等,こうとう,high class; high grade,2
合同,ごうどう,combination; union,2
後輩,こうはい,"junior (at work, school, etc.); younger people",2
公表,こうひょう,official announcement; proclamation,2
鉱物,こうぶつ,mineral,2
公務,こうむ,official business; public business,2
項目,こうもく,item; heading,2
紅葉,こうよう,maple (tree); red leaves (of autumn),2
合理,ごうり,rationality,2
交流,こうりゅう,exchange (e.g. cultural); interchange,2
合流,ごうりゅう,confluence (of rivers); flowing together,2
効力,こうりょく,effect; efficacy,2
超える,こえる,to cross over; to cross,2
コース,コース,course; route,2
コーラス,コーラス,chorus,2
焦がす,こがす,to burn; to scorch,2
国王,こくおう,king; queen,2
国籍,こくせき,nationality; citizenship,2
国立,こくりつ,national; founded and run by the central government,2
ごくろうさま,ごくろうさま,thank you (for your hard work); I appreciate your efforts,2
焦げる,こげる,to burn; to scorch,2
凍える,こごえる,to freeze (of one's body); to be frozen,2
心当たり,こころあたり,having in mind; happening to know (of),2
心得る,こころえる,to know; to understand,2
腰掛け,こしかけ,seat; bench,2
腰掛ける,こしかける,to sit (down),2
五十音,ごじゅうおん,the Japanese syllabary,2
胡椒,こしょう,pepper,2
こしらえる,こしらえる,to make; to manufacture,2
超す,こす,to cross over (e.g. mountain); to go across,2
擦る,こする,to rub in; to smear on,2
ごぞんじですか,ごぞんじですか,,2
個体,こたい,individual; specimen,2
御馳走,ごちそう,treat (esp. food and drink); entertainment,2
ごちそうさま,ごちそうさま,thank you (for the meal); that was a delicious meal,2
こちらこそ,こちらこそ,it is I who should say so,2
小遣い,こづかい,pocket money; spending money,2
コック,コック,cock; tap,2
こっそり,こっそり,stealthily; secretly,2
古典,こてん,"classic (work, esp. book); the classics",2
琴,こと,qin (7-stringed Chinese zither); guqin,2
言付ける,ことづける,"to have someone send (a message, parcel, etc.); to send (via someone else)",2
言葉遣い,ことばづかい,speech; expression,2
こないだ,こないだ,the other day; lately,2
御無沙汰,ごぶさた,"not writing or contacting for a while; neglecting (failing) to write (call, visit, etc.)",2
こぼす,こぼす,to spill; to drop,2
こぼれる,こぼれる,to be chipped; to be nicked,2
塵芥,ごみ,rubbish; trash,2
ゴム,ゴム,gum; rubber,2
御免,ごめん,I'm sorry; my apologies,2
ごめんください,ごめんください,may I come in?; please forgive me,2
小指,こゆび,little finger; pinky,2
こらえる,こらえる,to bear; to stand,2
娯楽,ごらく,amusement; entertainment,2
御覧,ごらん,(please) try to; (please) look,2
コレクション,コレクション,"collection (of art, stamps, etc.); collecting",2
転がす,ころがす,to roll; to wheel,2
転がる,ころがる,to roll; to tumble,2
紺,こん,navy blue; deep blue,2
コンクール,コンクール,competition; contest,2
コンクリート,コンクリート,concrete,2
混合,こんごう,mixing; mixture,2
コンセント,コンセント,(electrical) outlet; (wall) socket,2
献立,こんだて,menu; bill of fare,2
こんばんは,こんばんは,good evening,2
サークル,サークル,group with a common interest (e.g. students); club (e.g. company sports club),2
在学,ざいがく,"attending (school, college, etc.); being enrolled",2
再三,さいさん,again and again; repeatedly,2
祭日,さいじつ,national holiday; festival day,2
催促,さいそく,pressing; urging,2
採点,さいてん,marking; grading,2
災難,さいなん,calamity; misfortune,2
裁縫,さいほう,sewing; needlework,2
材木,ざいもく,wood (for building); lumber,2
サイレン,サイレン,siren,2
逆さ,さかさ,inverted; upside down,2
逆様,さかさま,inverted; upside down,2
捜す,さがす,to search for; to look for,2
遡る,さかのぼる,to go upstream; to go up (a river),2
酒場,さかば,bar; pub,2
さきおととい,さきおととい,two days before yesterday; three days back (ago),2
先程,さきほど,a short while ago; a moment ago,2
裂く,さく,to tear; to rip up,2
索引,さくいん,index (in a book),2
作者,さくしゃ,creator (of a work); author,2
削除,さくじょ,deletion; elimination,2
作成,さくせい,"making (a report, plan, contract, etc.); drawing up",2
作製,さくせい,manufacture; production,2
探る,さぐる,to feel around for; to fumble for,2
囁く,ささやく,to whisper; to murmur,2
刺さる,ささる,to stick into (of something with a sharp point); to prick,2
匙,さじ,spoon,2
座敷,ざしき,tatami room; tatami mat room,2
差し支え,さしつかえ,hindrance; impediment,2
差し引き,さしひき,deduction; subtraction,2
刺身,さしみ,"sashimi (raw sliced fish, shellfish or crustaceans)",2
刺す,さす,to pierce; to stab,2
挿す,さす,to insert; to put in,2
注す,さす,to pour; to add (liquid),2
射す,さす,to shine,2
流石,さすが,as one would expect; just as you'd expect (from),2
撮影,さつえい,photography (still or motion); photographing,2
雑音,ざつおん,noise (usu. unpleasant); interference (e.g. radio),2
さっさと,さっさと,quickly; promptly,2
早速,さっそく,at once; immediately,2
錆,さび,rust,2
錆びる,さびる,to rust; to become rusty,2
座布団,ざぶとん,zabuton,2
冷ます,さます,to cool (e.g. from a high temperature to room temperature); to let cool,2
妨げる,さまたげる,to disturb; to prevent,2
冷める,さめる,to cool down; to get cold,2
さようなら,さようなら,farewell; adieu,2
再来月,さらいげつ,month after next,2
再来週,さらいしゅう,week after next,2
再来年,さらいねん,year after next,2
サラリーマン,サラリーマン,office worker; company employee,2
騒がしい,さわがしい,noisy; boisterous,2
さわやか,さわやか,fresh; refreshing,2
三角,さんかく,triangle; triangular shape,2
算数,さんすう,arithmetic; calculation,2
酸性,さんせい,acidity; acidic,2
産地,さんち,producing area; place of origin,2
サンプル,サンプル,sample; example,2
山林,さんりん,mountain forest; forest on a mountain,2
仕上がる,しあがる,to be finished; to be completed,2
しあさって,しあさって,in three days' time; two days after tomorrow,2
シーズン,シーズン,season (period in which regulated games are played); season (division of the year),2
シーツ,シーツ,sheet; bed sheet,2
寺院,じいん,Buddhist temple; religious building,2
しいんと,（する）,,2
自衛,じえい,self-defense; self-defence,2
塩辛い,しおからい,salty (taste); briny,2
司会,しかい,leading a meeting; presiding over a meeting,2
四角,しかく,quadrilateral; square,2
四角い,しかくい,square; rectangular,2
時間割,じかんわり,timetable (esp. a weekly school timetable); schedule,2
四季,しき,the four seasons,2
敷地,しきち,site; plot,2
至急,しきゅう,urgent; pressing,2
敷く,しく,to spread out (e.g. a futon); to lay out,2
茂る,しげる,to grow thickly; to be in full leaf,2
持参,じさん,bringing; taking,2
磁石,じしゃく,magnet; compass,2
四捨五入,ししゃごにゅう,rounding (off; a number); rounding half away from zero,2
始終,しじゅう,continuously; from beginning to end,2
自習,じしゅう,self-study; teaching oneself,2
静まる,しずまる,to become quiet; to quiet down,2
姿勢,しせい,posture; pose,2
自然科学,しぜんかがく,natural science,2
時速,じそく,speed (per hour),2
子孫,しそん,descendant; progeny,2
死体,したい,dead body; corpse,2
下書き,したがき,draft; rough copy,2
下町,したまち,"low-lying part of a city (usu. containing shops, factories, etc.); Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds)",2
自治,じち,self-government; autonomy,2
実感,じっかん,real feeling; actual feeling,2
湿気,しっけ,moisture; humidity,2
湿気,しっき,moisture; humidity,2
しつこい,しつこい,insistent; obstinate,2
実習,じっしゅう,practice (in the field); training (esp. practical and hands-on),2
実績,じっせき,achievements; actual results,2
湿度,しつど,humidity,2
執筆,しっぴつ,writing; authoring,2
実物,じつぶつ,ornamental plant used primarily for the visual effect of its fruit; real thing,2
しっぽ,しっぽ,tail (of an animal); tail end,2
実用,じつよう,practical use; utility,2
実力,じつりょく,(real) ability; true strength,2
実例,じつれい,example; illustration,2
失恋,しつれん,disappointed love; broken heart,2
指定,してい,designation; specification,2
私鉄,してつ,private railway,2
児童,じどう,children; juvenile,2
縛る,しばる,to tie; to bind,2
地盤,じばん,ground; crust (earth),2
しびれる,しびれる,to become numb; to go to sleep (e.g. a limb),2
紙幣,しへい,paper money; note,2
しぼむ,しぼむ,"to wither (of flowers, dreams, etc.); to wilt",2
絞る,しぼる,"to wring (towel, rag); to squeeze",2
縞,しま,stripe; bar,2
地味,じみ,plain; simple,2
しみじみ,しみじみ,keenly; deeply,2
氏名,しめい,(full) name; identity,2
締切,しめきり,deadline; closing,2
締め切る,しめきる,to close up; to shut up (e.g. behind doors),2
湿る,しめる,to become damp; to become moist,2
ジャーナリスト,ジャーナリスト,journalist,2
社会科学,しゃかいかがく,social science,2
しゃがむ,しゃがむ,to squat; to crouch,2
蛇口,じゃぐち,faucet; tap,2
弱点,じゃくてん,weak point; weakness,2
車庫,しゃこ,garage; carport,2
車掌,しゃしょう,(train) conductor,2
写生,しゃせい,sketching; drawing from nature,2
社説,しゃせつ,editorial; leading article,2
しゃっくり,しゃっくり,hiccup; hiccough,2
シャッター,シャッター,"(camera) shutter; shutter (for a door, window, etc.)",2
しゃぶる,しゃぶる,to suck; to lick,2
車輪,しゃりん,(vehicle) wheel,2
洒落,しゃれ,impertinent; fresh,2
じゃんけん,じゃんけん,rock-paper-scissors (game); janken,2
集会,しゅうかい,meeting; assembly,2
住居,じゅうきょ,dwelling; house,2
集金,しゅうきん,money collection,2
集合,しゅうごう,meeting up; gathering,2
習字,しゅうじ,penmanship; calligraphy,2
修繕,しゅうぜん,repair; mending,2
重体,じゅうたい,serious condition; critical condition,2
じゅうたん,（カーペット）,animal charcoal; carbo animalis,2
終点,しゅうてん,terminus; last stop (e.g. train),2
重点,じゅうてん,important point; emphasis,2
就任,しゅうにん,assumption (of office); taking up (a post),2
周辺,しゅうへん,circumference; outskirts,2
重役,じゅうやく,(company) director; executive,2
終了,しゅうりょう,end; close,2
重量,じゅうりょう,weight,2
重力,じゅうりょく,gravity; gravitation,2
熟語,じゅくご,kanji compound; idiom,2
祝日,しゅくじつ,national holiday; public holiday,2
縮小,しゅくしょう,reduction; curtailment,2
受験,じゅけん,taking an examination (esp. for entrance to a school or university),2
主語,しゅご,subject,2
出勤,しゅっきん,going to work; leaving for work,2
述語,じゅつご,predicate,2
出張,しゅっちょう,business trip; official trip,2
寿命,じゅみょう,lifespan; life,2
主役,しゅやく,leading part; leading actor,2
受話器,じゅわき,(telephone) receiver,2
循環,じゅんかん,circulation; rotation,2
巡査,じゅんさ,police officer; policeman,2
順々,じゅんじゅん,in order; in turn,2
順序,じゅんじょ,order; sequence,2
純情,じゅんじょう,pure heart; naivete,2
純粋,じゅんすい,pure; true,2
消化,しょうか,digestion (of food); digestion (of information),2
小学生,しょうがくせい,elementary school student; primary school student,2
しょうがない,しょうがない,there's no (other) way; cannot be helped,2
将棋,しょうぎ,shogi; Japanese chess,2
蒸気,じょうき,steam; vapour,2
定規,じょうぎ,(measuring) ruler,2
上級,じょうきゅう,upper level; upper grade,2
商業,しょうぎょう,commerce; trade,2
消極的,しょうきょくて,negative; passive,2
き,き,strange; unconventional,2
