word,reading,meaning,level,language,source
採算,さいさん,profit,N1,ja,JLPT (open-anki-jlpt-decks)
サイズ,サイズ,size,N1,ja,JLPT (open-anki-jlpt-decks)
再生,さいせい,"playback, regeneration, resuscitation",N1,ja,JLPT (open-anki-jlpt-decks)
財政,ざいせい,"economy, financial affairs",N1,ja,JLPT (open-anki-jlpt-decks)
最善,さいぜん,the very best,N1,ja,JLPT (open-anki-jlpt-decks)
採択,さいたく,"adoption, selection, choice",N1,ja,JLPT (open-anki-jlpt-decks)
栽培,さいばい,cultivation,N1,ja,JLPT (open-anki-jlpt-decks)
再発,さいはつ,"return, relapse, reoccurrence",N1,ja,JLPT (open-anki-jlpt-decks)
細胞,さいぼう,cell,N1,ja,JLPT (open-anki-jlpt-decks)
採用,さいよう,"use, adopt",N1,ja,JLPT (open-anki-jlpt-decks)
遮る,さえぎる,"to interrupt, to intercept, to obstruct",N1,ja,JLPT (open-anki-jlpt-decks)
さえずる,さえずる,"to sing, to chirp, to twitter",N1,ja,JLPT (open-anki-jlpt-decks)
冴える,さえる,"to be clear, to be bright, to be skillful",N1,ja,JLPT (open-anki-jlpt-decks)
竿,さお,"rod, pole (e.g., for drying laundry)",N1,ja,JLPT (open-anki-jlpt-decks)
栄える,さかえる,"to flourish, to prosper, to thrive",N1,ja,JLPT (open-anki-jlpt-decks)
差額,さがく,"balance, difference, margin",N1,ja,JLPT (open-anki-jlpt-decks)
杯,さかずき,wine cup,N1,ja,JLPT (open-anki-jlpt-decks)
逆立ち,さかだち,"handstand, headstand",N1,ja,JLPT (open-anki-jlpt-decks)
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",N1,ja,JLPT (open-anki-jlpt-decks)
詐欺,さぎ,"fraud, swindle",N1,ja,JLPT (open-anki-jlpt-decks)
削減,さくげん,"cut, reduction",N1,ja,JLPT (open-anki-jlpt-decks)
錯誤,さくご,mistake,N1,ja,JLPT (open-anki-jlpt-decks)
作戦,さくせん,"military operations, tactics, strategy",N1,ja,JLPT (open-anki-jlpt-decks)
叫び,さけび,"shout, scream, outcry",N1,ja,JLPT (open-anki-jlpt-decks)
捧げる,ささげる,"to lift up, to give, to offer",N1,ja,JLPT (open-anki-jlpt-decks)
差し掛かる,さしかかる,"to come near to, to approach",N1,ja,JLPT (open-anki-jlpt-decks)
指図,さしず,"instruction, mandate",N1,ja,JLPT (open-anki-jlpt-decks)
差し出す,さしだす,"to present, to submit, to hold out",N1,ja,JLPT (open-anki-jlpt-decks)
差し支える,さしつかえる,"to interfere, to hinder",N1,ja,JLPT (open-anki-jlpt-decks)
授ける,さずける,"to grant, to award, to teach",N1,ja,JLPT (open-anki-jlpt-decks)
摩する,さする,"to rub, to stroke",N1,ja,JLPT (open-anki-jlpt-decks)
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",N1,ja,JLPT (open-anki-jlpt-decks)
定まる,さだまる,"to become settled, to be fixed",N1,ja,JLPT (open-anki-jlpt-decks)
定める,さだめる,"to decide, to determine",N1,ja,JLPT (open-anki-jlpt-decks)
座談会,ざだんかい,"symposium, round-table discussion",N1,ja,JLPT (open-anki-jlpt-decks)
雑,ざつ,"rough, crude",N1,ja,JLPT (open-anki-jlpt-decks)
雑貨,ざっか,"miscellaneous goods, general goods",N1,ja,JLPT (open-anki-jlpt-decks)
殺人,さつじん,murder,N1,ja,JLPT (open-anki-jlpt-decks)
察する,さっする,"to guess, to sense, to judge",N1,ja,JLPT (open-anki-jlpt-decks)
雑談,ざつだん,"chatting, idle talk",N1,ja,JLPT (open-anki-jlpt-decks)
さっと,さっと,"suddenly, smoothly",N1,ja,JLPT (open-anki-jlpt-decks)
さっぱりする,さっぱりする,to refresh,N1,ja,JLPT (open-anki-jlpt-decks)
悟る,さとる,"to attain enlightenment, to understand",N1,ja,JLPT (open-anki-jlpt-decks)
最中,さなか,"in the middle of, midst",N1,ja,JLPT (open-anki-jlpt-decks)
座標,ざひょう,coordinates,N1,ja,JLPT (open-anki-jlpt-decks)
さほど,さほど,"not so, not that much",N1,ja,JLPT (open-anki-jlpt-decks)
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,N1,ja,JLPT (open-anki-jlpt-decks)
様,さま,state; way (a person does something); Mr. or Mrs.,N1,ja,JLPT (open-anki-jlpt-decks)
寒気,さむけ,"chill, shiver, cold",N1,ja,JLPT (open-anki-jlpt-decks)
侍,さむらい,samurai,N1,ja,JLPT (open-anki-jlpt-decks)
さも,さも,"with gusto, with satisfaction",N1,ja,JLPT (open-anki-jlpt-decks)
作用,さよう,"operation, effect, function",N1,ja,JLPT (open-anki-jlpt-decks)
さらう (こどもを～),さらう (こどもを～),to kidnap,N1,ja,JLPT (open-anki-jlpt-decks)
障る,さわる,"to hinder, to interfere with, to affect",N1,ja,JLPT (open-anki-jlpt-decks)
酸,さん,acid,N1,ja,JLPT (open-anki-jlpt-decks)
山岳,さんがく,mountains,N1,ja,JLPT (open-anki-jlpt-decks)
参議院,さんぎいん,House of Councilors,N1,ja,JLPT (open-anki-jlpt-decks)
産休,さんきゅう,maternity leave,N1,ja,JLPT (open-anki-jlpt-decks)
サンキュー,サンキュー,thank you,N1,ja,JLPT (open-anki-jlpt-decks)
残金,ざんきん,remaining money,N1,ja,JLPT (open-anki-jlpt-decks)
産後,さんご,"postpartum, after childbirth",N1,ja,JLPT (open-anki-jlpt-decks)
残酷,ざんこく,"cruelty, harshness",N1,ja,JLPT (open-anki-jlpt-decks)
産出,さんしゅつ,"yield, produce",N1,ja,JLPT (open-anki-jlpt-decks)
参照,さんしょう,"reference, consultation, consultation",N1,ja,JLPT (open-anki-jlpt-decks)
参上,さんじょう,"calling on, visiting",N1,ja,JLPT (open-anki-jlpt-decks)
残高,ざんだか,"(bank) balance, remainder",N1,ja,JLPT (open-anki-jlpt-decks)
サンタクロース,サンタクロース,Santa Claus,N1,ja,JLPT (open-anki-jlpt-decks)
桟橋,さんばし,"wharf, jetty, pier",N1,ja,JLPT (open-anki-jlpt-decks)
賛美,さんび,"praise, adoration, glorification",N1,ja,JLPT (open-anki-jlpt-decks)
山腹,さんぷく,"hillside, mountainside",N1,ja,JLPT (open-anki-jlpt-decks)
産婦人科,さんふじんか,maternity and gynecology department,N1,ja,JLPT (open-anki-jlpt-decks)
産物,さんぶつ,"product, result, fruit",N1,ja,JLPT (open-anki-jlpt-decks)
山脈,さんみゃく,mountain range,N1,ja,JLPT (open-anki-jlpt-decks)
仕上がり,しあがり,"finish, end, completion",N1,ja,JLPT (open-anki-jlpt-decks)
仕上,しあげ,"end, finishing touches",N1,ja,JLPT (open-anki-jlpt-decks)
仕上げる,しあげる,"to finish up, to complete",N1,ja,JLPT (open-anki-jlpt-decks)
飼育,しいく,"breeding, raising, rearing",N1,ja,JLPT (open-anki-jlpt-decks)
強いて,しいて,"to dare, to insist",N1,ja,JLPT (open-anki-jlpt-decks)
シート,シート,seat; sheet,N1,ja,JLPT (open-anki-jlpt-decks)
ジーパン,ジーパン,jeans,N1,ja,JLPT (open-anki-jlpt-decks)
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",N1,ja,JLPT (open-anki-jlpt-decks)
強いる,しいる,"to force, to compel, to coerce",N1,ja,JLPT (open-anki-jlpt-decks)
潮,しお,tide,N1,ja,JLPT (open-anki-jlpt-decks)
歯科,しか,dentistry,N1,ja,JLPT (open-anki-jlpt-decks)
自我,じが,"self, ego",N1,ja,JLPT (open-anki-jlpt-decks)
自覚,じかく,self-conscious,N1,ja,JLPT (open-anki-jlpt-decks)
仕掛,しかけ,"device, trick, mechanism",N1,ja,JLPT (open-anki-jlpt-decks)
仕掛ける,しかける,"to lay, to set, to wage",N1,ja,JLPT (open-anki-jlpt-decks)
しかしながら,しかしながら,"however, nevertheless",N1,ja,JLPT (open-anki-jlpt-decks)
色彩,しきさい,color,N1,ja,JLPT (open-anki-jlpt-decks)
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",N1,ja,JLPT (open-anki-jlpt-decks)
しきたり,しきたり,"custom, conventional practice, tradition",N1,ja,JLPT (open-anki-jlpt-decks)
事業,じぎょう,"project, enterprise, business",N1,ja,JLPT (open-anki-jlpt-decks)
軽蔑,けいべつ,"scorn, disdain",N1,ja,JLPT (open-anki-jlpt-decks)
経歴,けいれき,"personal history, career",N1,ja,JLPT (open-anki-jlpt-decks)
経路,けいろ,"course, route, channel",N1,ja,JLPT (open-anki-jlpt-decks)
けがらわしい,けがらわしい,"filthy, unfair",N1,ja,JLPT (open-anki-jlpt-decks)
劇団,げきだん,"troupe, theatrical company",N1,ja,JLPT (open-anki-jlpt-decks)
激励,げきれい,encouragement,N1,ja,JLPT (open-anki-jlpt-decks)
ゲスト,ゲスト,guest,N1,ja,JLPT (open-anki-jlpt-decks)
獣,けだもの,"beast, brute",N1,ja,JLPT (open-anki-jlpt-decks)
決,けつ,"decision, vote",N1,ja,JLPT (open-anki-jlpt-decks)
決意,けつい,"decision, determination",N1,ja,JLPT (open-anki-jlpt-decks)
結核,けっかく,tuberculosis,N1,ja,JLPT (open-anki-jlpt-decks)
決議,けつぎ,"resolution, vote, decision",N1,ja,JLPT (open-anki-jlpt-decks)
結合,けつごう,"combination, union",N1,ja,JLPT (open-anki-jlpt-decks)
決算,けっさん,"balance sheet, settlement of accounts",N1,ja,JLPT (open-anki-jlpt-decks)
月謝,げっしゃ,monthly tuition fee,N1,ja,JLPT (open-anki-jlpt-decks)
決勝,けっしょう,finals (in sports),N1,ja,JLPT (open-anki-jlpt-decks)
結晶,けっしょう,"crystal, crystallization",N1,ja,JLPT (open-anki-jlpt-decks)
結成,けっせい,formation,N1,ja,JLPT (open-anki-jlpt-decks)
結束,けっそく,"union, unity",N1,ja,JLPT (open-anki-jlpt-decks)
げっそり,げっそり,"being disheartened, losing weight",N1,ja,JLPT (open-anki-jlpt-decks)
決断,けつだん,"decision, determination",N1,ja,JLPT (open-anki-jlpt-decks)
月賦,げっぷ,monthly installment,N1,ja,JLPT (open-anki-jlpt-decks)
欠乏,けつぼう,shortage,N1,ja,JLPT (open-anki-jlpt-decks)
蹴飛ばす,けとばす,"to kick away, to kick (someone)",N1,ja,JLPT (open-anki-jlpt-decks)
けなす,けなす,to speak ill of,N1,ja,JLPT (open-anki-jlpt-decks)
煙たい,けむたい,"smoky, feeling awkward",N1,ja,JLPT (open-anki-jlpt-decks)
煙る,けむる,"to smoke (e.g., fire)",N1,ja,JLPT (open-anki-jlpt-decks)
獣,けもの,"beast, brute",N1,ja,JLPT (open-anki-jlpt-decks)
家来,けらい,"retainer, retinue, servant",N1,ja,JLPT (open-anki-jlpt-decks)
下痢,げり,diarrhea,N1,ja,JLPT (open-anki-jlpt-decks)
権威,けんい,"authority, power, influence",N1,ja,JLPT (open-anki-jlpt-decks)
兼業,けんぎょう,holding two jobs at the same time,N1,ja,JLPT (open-anki-jlpt-decks)
原形,げんけい,"original form, base form",N1,ja,JLPT (open-anki-jlpt-decks)
原型,げんけい,"prototype, model, archetypal",N1,ja,JLPT (open-anki-jlpt-decks)
権限,けんげん,"power, authority, jurisdiction",N1,ja,JLPT (open-anki-jlpt-decks)
現行,げんこう,"present, current, in operation",N1,ja,JLPT (open-anki-jlpt-decks)
健在,けんざい,"in good health, well",N1,ja,JLPT (open-anki-jlpt-decks)
原作,げんさく,original work,N1,ja,JLPT (open-anki-jlpt-decks)
検事,けんじ,public prosecutor,N1,ja,JLPT (open-anki-jlpt-decks)
原子,げんし,atom,N1,ja,JLPT (open-anki-jlpt-decks)
元首,げんしゅ,"ruler, sovereign",N1,ja,JLPT (open-anki-jlpt-decks)
原書,げんしょ,original document,N1,ja,JLPT (open-anki-jlpt-decks)
懸賞,けんしょう,"offering prizes, winning, reward",N1,ja,JLPT (open-anki-jlpt-decks)
健全,けんぜん,"health, soundness, wholesome",N1,ja,JLPT (open-anki-jlpt-decks)
元素,げんそ,element,N1,ja,JLPT (open-anki-jlpt-decks)
同調,どうちょう,"sympathy, agree with, alignment",N1,ja,JLPT (open-anki-jlpt-decks)
到底,とうてい,(cannot) possibly,N1,ja,JLPT (open-anki-jlpt-decks)
動的,どうてき,"dynamic, kinetic",N1,ja,JLPT (open-anki-jlpt-decks)
尊い,とうとい,"precious, valuable, noble",N1,ja,JLPT (open-anki-jlpt-decks)
貴い,とうとい,"precious, valuable, noble",N1,ja,JLPT (open-anki-jlpt-decks)
同等,どうとう,"equality, equal, same rank",N1,ja,JLPT (open-anki-jlpt-decks)
堂々,どうどう,"magnificent, grand, impressive",N1,ja,JLPT (open-anki-jlpt-decks)
尊ぶ,とうとぶ,"to value, to prize, to esteem",N1,ja,JLPT (open-anki-jlpt-decks)
どうにか,どうにか,"in some way or other, one way or another",N1,ja,JLPT (open-anki-jlpt-decks)
投入,とうにゅう,"throw, investment, making (an electrical circuit)",N1,ja,JLPT (open-anki-jlpt-decks)
導入,どうにゅう,"introduction, bringing in, leading in",N1,ja,JLPT (open-anki-jlpt-decks)
当人,とうにん,"the one concerned, the said person",N1,ja,JLPT (open-anki-jlpt-decks)
同封,どうふう,"enclosure (e.g., in a letter)",N1,ja,JLPT (open-anki-jlpt-decks)
逃亡,とうぼう,escape,N1,ja,JLPT (open-anki-jlpt-decks)
冬眠,とうみん,"hibernation, winter sleep",N1,ja,JLPT (open-anki-jlpt-decks)
同盟,どうめい,"alliance, union, league",N1,ja,JLPT (open-anki-jlpt-decks)
どうやら,どうやら,"it seems like, somehow or other",N1,ja,JLPT (open-anki-jlpt-decks)
動力,どうりょく,"power, motive power, dynamic force",N1,ja,JLPT (open-anki-jlpt-decks)
登録,とうろく,"registration, register, record",N1,ja,JLPT (open-anki-jlpt-decks)
討論,とうろん,discussion; debate,N1,ja,JLPT (open-anki-jlpt-decks)
遠ざかる,とおざかる,to go far off,N1,ja,JLPT (open-anki-jlpt-decks)
遠回り,とおまわり,"detour, roundabout way",N1,ja,JLPT (open-anki-jlpt-decks)
トーン,トーン,tone,N1,ja,JLPT (open-anki-jlpt-decks)
とかく,とかく,"anyhow, anyway, in any case",N1,ja,JLPT (open-anki-jlpt-decks)
